name,address,price,psf,description,bedroom,bathroom,carpark
"Residensi Kia Peng (Twelve Kia Peng), Jalan Kia Peng, KLCC","KLCC, Kuala Lumpur","RM 7,000",(RM 2.17 per sq. ft.),"Condominium | Corner lot  •  Built-up : 3,226 sq. ft.  •  Partly furnished",3+1,4,2
"Continew, KLCC","KLCC, Kuala Lumpur","RM 1,800",(RM 3.9 per sq. ft.),Serviced Residence  •  Built-up : 462 sq. ft.  •  Fully furnished,Studio,1,
"Continew, KLCC","KLCC, Kuala Lumpur","RM 1,800",(RM 3.9 per sq. ft.),Serviced Residence  •  Built-up : 462 sq. ft.  •  Fully furnished,Studio,1,
"10 Stonor, KLCC","KLCC, Kuala Lumpur","RM 2,999",(RM 3.74 per sq. ft.),Condominium  •  Built-up : 801 sq. ft.  •  Partly furnished,3,2,1
"10 Stonor, KLCC","KLCC, Kuala Lumpur","RM 3,300",(RM 4.13 per sq. ft.),Condominium  •  Built-up : 800 sq. ft.  •  Fully furnished,3,2,1
"10 Stonor, KLCC","KLCC, Kuala Lumpur","RM 3,600",(RM 4.49 per sq. ft.),Condominium  •  Built-up : 801 sq. ft.  •  Fully furnished,3,2,1
"Aria, KLCC","KLCC, Kuala Lumpur","RM 8,000",(RM 5.33 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,502 sq. ft.  •  Fully furnished",3,3,2
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 4,500",(RM 4.1 per sq. ft.),"Serviced Residence  •  Built-up : 1,098 sq. ft.",2,2,2
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 3,400",(RM 4.39 per sq. ft.),Serviced Residence  •  Built-up : 775 sq. ft.,2,2,1
"The Ruma, KLCC","KLCC, Kuala Lumpur","RM 4,000",(RM 4.37 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 915 sq. ft.  •  Fully furnished,2+1,2,1
"Twin Arkz, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 3,000",(RM 2.39 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,254 sq. ft.  •  Partly furnished",3,2,2
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 5,500",(RM 4.54 per sq. ft.),"Serviced Residence  •  Built-up : 1,211 sq. ft.",3,2,2
